Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year
Her Majesty,Abbey Road,LennonMcCartney,McCartney,1969
Here Comes the Sun,Abbey Road,Harrison,Harrison,1969
"Here, There and Everywhere",Revolver,LennonMcCartney,McCartney,1966
Hey Bulldog,Yellow Submarine,LennonMcCartney,Lennon,1969
Hey Jude,Past Masters,LennonMcCartney,McCartney,1968
Hold Me Tight,With the Beatles,LennonMcCartney,McCartney,1963
Honey Don't,Beatles for Sale,Carl Perkins,Starr,1964
Honey Pie,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968
I Am the Walrus,Magical Mystery Tour,LennonMcCartney,Lennon,1967
I Call Your Name,Past Masters,LennonMcCartney,Lennon,1964
I Don't Want to Spoil the Party,Beatles for Sale,LennonMcCartney,Lennon(with McCartney),1964
I Feel Fine,Past Masters,LennonMcCartney,Lennon,1964
I Me Mine,Let It Be,Harrison,Harrison,1970
I Need You,Help!,Harrison,Harrison,1965
I Saw Her Standing There,Please Please Me,LennonMcCartney,McCartney,1963
I Should Have Known Better,A Hard Day's Night,LennonMcCartney,Lennon,1964
I Wanna Be Your Man,With the Beatles,LennonMcCartney,Starr,1963
I Want to Hold Your Hand,Past Masters,LennonMcCartney,LennonMcCartney,1963
I Want to Tell You,Revolver,Harrison,Harrison,1966
I Want You (She's So Heavy),Abbey Road,LennonMcCartney,Lennon,1969
I Will,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968
If I Fell,A Hard Day's Night,LennonMcCartney,LennonMcCartney,1964
If I Needed Someone,Rubber Soul,Harrison,Harrison,1965
I'll Be Back,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964
I'll Cry Instead,A Hard Day's Night,LennonMcCartney,Lennon,1964
I'll Follow the Sun,Beatles for Sale,LennonMcCartney,McCartney,1964
I'll Get You,"Past Masters(B-side of ""She Loves You"")",LennonMcCartney,Lennon(with McCartney),1963
I'm a Loser,Beatles for Sale,LennonMcCartney,Lennon,1964
I'm Down,"Past Masters(B-side of ""Help!"")",LennonMcCartney,McCartney,1965
I'm Happy Just to Dance with You,A Hard Day's Night,LennonMcCartney,Harrison,1964
I'm Looking Through You,Rubber Soul,LennonMcCartney,McCartney,1965
I'm Only Sleeping,Revolver,LennonMcCartney,Lennon,1966
I'm So Tired,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968
I've Got a Feeling,Let It Be,LennonMcCartney,McCartney(with Lennon),1970
I've Just Seen a Face,Help!,LennonMcCartney,McCartney,1965
In My Life,Rubber Soul,LennonMcCartney,Lennon,1965
The Inner Light,"Past Masters(B-side of ""Lady Madonna"")",Harrison,Harrison,1968
It Won't Be Long,With the Beatles,LennonMcCartney,Lennon,1963
It's All Too Much,Yellow Submarine,Harrison,Harrison,1969
It's Only Love,Help!,LennonMcCartney,Lennon,1965
Julia,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968
Kansas City/Hey-Hey-Hey-Hey!,Beatles for Sale,Jerry LeiberMike Stoller /Richard Penniman,McCartney,1964
"Komm, gib mir deine Hand",Past Masters,LennonMcCartneyJean NicolasHeinz Hellmer,LennonMcCartney,1964
Lady Madonna,Past Masters,LennonMcCartney,McCartney,1968
Let It Be,Let It BePast Masters,LennonMcCartney,McCartney,1970
Little Child,With the Beatles,LennonMcCartney,LennonMcCartney,1963
The Long and Winding Road,Let It Be,LennonMcCartney,McCartney,1970
Long Tall Sally,Past Masters,Robert BlackwellEnotris JohnsonRichard Penniman,McCartney,1964
"Long, Long, Long","The Beatles (""White Album"")",Harrison,Harrison,1968
Love Me Do,Please Please MePast Masters,LennonMcCartney,McCartney(with Lennon),1962
Love You To,Revolver,Harrison,Harrison,1966
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967
